代码		   最高等级    	最高等级效果
70000000		40	40力量
70000001		40	40敏捷
70000002		40	40智力
70000003		40	40幸运
70000004		40	400命中
70000005		40	400闪避
70000006		40	400物防
70000007		40	400魔防
70000008		40	600HP
70000009		40	600MP
70000010		30	20跳跃
70000011		30	20速度
70000012		30	30攻击
70000013		30	30魔力
70000014		30	30%暴击率
70000015		40	40全属性
70000016		10	攻击速度提高1阶段
70000017		40	物防10%加到魔防
70000018		40	魔防10%加到物防
70000019		40	命中50%加到MP
70000020		40	闪避50%加到HP
70000021		40	力量10%加到敏捷
70000022		40	敏捷10%加到力量
70000023		40	智力10%加到幸运
70000024		40	幸运10%加到敏捷
70000025		10	每10级加1攻击
70000026		10	每10级加1魔力
70000027		20	20%命中
70000028		20	20%闪避
70000029		20	20%物防
70000030		20	20%魔防
70000031		20	20%HP
70000032		20	20%MP
70000033		20	10%命中率
70000034		20	10%闪避率
70000035		20	20%BOSS伤害
70000036		40	10%普通怪物伤害
70000037		30	20%对阿斯旺怪物伤害
70000038		40	10%一击必杀阿斯旺怪物
70000039		40	攻击晕眩、暗黑、结冰状态的怪物伤害增加10%
70000040		20	造成物理命中、魔法命中较高数值50%额外伤害
70000041		20	物防50%的额外伤害
70000042		20	魔防50%的额外伤害
70000043		30	受到魔攻减免10%物防伤害
70000044		30	受到物攻减免10%魔防伤害
70000045		20	用技能，20%概率消除冷却
70000046		10	被动技能等级加1
70000047		10	群攻数量加1
70000048		40	增益时间延长50%
70000049		40	20%物品掉率
70000050		40	20%金币掉率
70000051		40	40力量20敏捷
70000052		40	40力量20智力
70000053		40	40力量20运气
70000054		40	40敏捷20智力
70000055		40	40敏捷20运气
70000056		40	40智力20运气
70000057		40	40敏捷20力量
70000058		40	40智力20力量
70000059		40	40运气20力量
70000060		40	40智力20敏捷
70000061		40	40运气20敏捷
70000062		40	40运气20智力
