这里只写一些比较常用的代码：

首位：1-B级 /2-A级/3-S级/4-SS级

附加潜能一般是第二位的0改成2

3%力量		        10041（附加12041，类推）
3%敏捷			10042
3%智力			10043
3%运气			10044
3%maxHP			10045
3%maxMp			10046
3%命中率                 10047
3%回避率                 10048
3%攻击力                 10051
3%魔法攻击力		10052
3%物理防御力		10053
3%魔法防御力		10054
3%暴击率                 10055

6%力量			20041
6%敏捷			20042
6%智力			20043
6%运气			20044
6%maxHP			20045
6%maxMp			20046
6%命中率                 20047
6%回避率                 20048
6%攻击力                 20051
6%魔法攻击力		20052
6%物理防御力		20053
6%魔法防御力		20054
6%暴击率                 20055


9%力量			30041
9%敏捷			30042
9%智力			30043
9%运气			30044
9%maxHP			30045
9%maxMp			30046
9%命中率                 30047
9%回避率                30048
9%攻击力                 30051
9%魔法攻击力		30052
9%物理防御力		30053
9%魔法防御力		30054
9%暴击率                 30055


12%力量			40041（附加42041）
12%敏捷			40042
12%智力			40043
12%运气			40044
12%maxHP               40045
12%maxMp               40046
12%命中率              40047
12%回避率              40048
12%攻击力              40051
12%魔法攻击力		40052
12%物理防御力		40053
12%魔法防御力		40054
12%暴击率                    40055/42057


40%BOSS伤害		40603
35%Boss伤害		40602
30%BOSS伤害		40601
30%BOSS伤害		30602/（42602  附加 18% BOSS）
20%BOSS伤害		30601

40%攻击时，无视怪物的防御力		40292
35%攻击时，无视怪物的防御力		40291
30%攻击时，无视怪物的防御力		30291
15%攻击时，无视怪物的防御力		20291
15%攻击时，无视怪物的防御力		10291

总伤害   10070/20070/30070/40070

3%所有属性		20086
2%所有属性		22086
3%所有属性		22087

6%所有属性		30086
4%所有属性		32086
6%所有属性		32087

9%所有属性		40086
5%所有属性		42086
9%所有属性		42087

20%所有属性		60002
5%所有属性		60004
10%所有属性		60005


42091  每10级加2力量  （32091  每10级力量加1）
42092  每10级加2敏捷  （32091  每10级敏捷加1）
42093  每10级加2智力  （32091  每10级智力加1）
42094  每10级加2运气  （32091  每10级运气加1）

30106  所有技能等级：+1
40106  所有技能等级：+2
40107  所有技能等级：+3
40111  所有属性抗性：+10%
40116  状态异常抗性：+10%
40556  所有技能冷却时间：-1秒
40557  所有技能冷却时间：-2秒
20366  受到攻击后无敌时间：+1秒/2秒/3秒
20396  所有状态异常持续时间：-2秒


31001  可以使用<好用的轻功>技能
31002  可以使用<好用的时空门>技能
31003  可以使用<好用的火眼晶晶>技能
31004  可以使用<好用的神圣之火>技能
41005  可以使用<强化战斗命令>技能
41006  可以使用<强化进阶祝福>技能
41007  可以使用<强化极速领域>技能

40056  爆击最小伤害：15%
40057  爆击最大伤害：15%
40070  总伤害：12%
武器 副手 40091（2）  每10级攻击力（魔力）加1

10001   力量 : +12/14/16/18   （附加12001  10/14/16/18）
10002   敏捷 : +12/14/16/18
10003   智力 : +12/14/16/18
10004   运气 : +12/14/16/18
10005   MaxHP : +120/180/240/300  （100/180/240/300）
10006   MaxMP : +120/180/240/300
10007   命中值：+48/48/72/96
10008   回避值：+48/48/72/96
10009   移动速度：+8/10/12/14     （6/8/10/14）
10010   跳跃力：+8/10/12/14
10011   攻击力：+12/14/16/18
10012   魔法攻击力：+12/14/16
10013   物理防御力：+120/180/240/300
10014   魔法防御力：+120/180/240/300
10081   所有属性：+5   （40081  +12）
